Date : 2022-12-06 22:37:17
Directory : c:\Users\Pooya909\Desktop\Projects\shopapp
Total : 98 files,  1960 codes, 99 comments, 502 blanks, all 2561 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\templates\user\create_address.html                                 | Django HTML      |          9 |          0 |          2 |         11 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\templates\user\delete_address.html                                 | Django HTML      |          8 |          0 |          3 |         11 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\templates\user\order_detail.html                                   | Django HTML      |         38 |          0 |          5 |         43 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\templates\user\orders.html                                         | Django HTML      |         25 |          0 |          3 |         28 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\templates\user\profile.html                                        | Django HTML      |          9 |          0 |          3 |         12 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\tests.py                                                           | Python           |          1 |          1 |          2 |          4 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\urls.py                                                            | Python           |         11 |          0 |          3 |         14 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\views.py                                                           | Python           |         64 |          0 |         21 |         85 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\manage.py                                                                    | Python           |         15 |          3 |          5 |         23 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\requirements.txt                                                             | pip requirements |         59 |          0 |          0 |         59 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\static\script\cart\edit_order.js                                             | JavaScript       |         31 |          0 |          4 |         35 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\static\script\cart\in_checkout.js                                            | JavaScript       |         64 |          1 |          8 |         73 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\static\script\cart\in_detail.js                                              | JavaScript       |         47 |          0 |          5 |         52 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\static\script\pay\script.js                                                  | JavaScript       |         29 |          1 |          4 |         34 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\static\styles\detail.css                                                     | CSS              |         14 |          4 |          0 |         18 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\static\styles\order.css                                                      | CSS              |         22 |          0 |          3 |         25 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\static\styles\payment.css                                                    | CSS              |         10 |          0 |          1 |         11 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\static\styles\style.css                                                      | CSS              |         10 |          0 |          2 |         12 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\templates\base.html                                                          | Django HTML      |         26 |          0 |          7 |         33 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\templates\inc\message.html                                                   | Django HTML      |          7 |          0 |          0 |          7 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\templates\inc\navbar.html                                                    | Django HTML      |         54 |          0 |          5 |         59 |
| Total                                                                                                                   |                  |      1,960 |         99 |        502 |      2,561 |
+-------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
